//////////////////////
//ADDI R0 X
//////////////////////
ADDI R0 0
ADDI R0 1
ADDI R0 2
ADDI R0 3
ADDI R0 4
ADDI R0 5
ADDI R0 6
ADDI R0 7
ADDI R0 8
ADDI R0 9
ADDI R0 10
ADDI R0 11
ADDI R0 12
ADDI R0 13
ADDI R0 14
ADDI R0 15
ADDI R0 16
ADDI R0 17
ADDI R0 18
ADDI R0 19
ADDI R0 20
ADDI R0 21
ADDI R0 22
ADDI R0 23
ADDI R0 24
ADDI R0 25
ADDI R0 26
ADDI R0 27
ADDI R0 28
ADDI R0 29
ADDI R0 30
ADDI R0 31
//////////////////////
//ADDI R1 X
//////////////////////
ADDI R1 0
ADDI R1 1
ADDI R1 2
ADDI R1 3
ADDI R1 4
ADDI R1 5
ADDI R1 6
ADDI R1 7
ADDI R1 8
ADDI R1 9
ADDI R1 10
ADDI R1 11
ADDI R1 12
ADDI R1 13
ADDI R1 14
ADDI R1 15
ADDI R1 16
ADDI R1 17
ADDI R1 18
ADDI R1 19
ADDI R1 20
ADDI R1 21
ADDI R1 22
ADDI R1 23
ADDI R1 24
ADDI R1 25
ADDI R1 26
ADDI R1 27
ADDI R1 28
ADDI R1 29
ADDI R1 30
ADDI R1 31
//////////////////////
//ADDI R2 X
//////////////////////
ADDI R2 0
ADDI R2 1
ADDI R2 2
ADDI R2 3
ADDI R2 4
ADDI R2 5
ADDI R2 6
ADDI R2 7
ADDI R2 8
ADDI R2 9
ADDI R2 10
ADDI R2 11
ADDI R2 12
ADDI R2 13
ADDI R2 14
ADDI R2 15
ADDI R2 16
ADDI R2 17
ADDI R2 18
ADDI R2 19
ADDI R2 20
ADDI R2 21
ADDI R2 22
ADDI R2 23
ADDI R2 24
ADDI R2 25
ADDI R2 26
ADDI R2 27
ADDI R2 28
ADDI R2 29
ADDI R2 30
ADDI R2 31
//////////////////////
//ADDI R3 X
//////////////////////
ADDI R3 0
ADDI R3 1
ADDI R3 2
ADDI R3 3
ADDI R3 4
ADDI R3 5
ADDI R3 6
ADDI R3 7
ADDI R3 8
ADDI R3 9
ADDI R3 10
ADDI R3 11
ADDI R3 12
ADDI R3 13
ADDI R3 14
ADDI R3 15
ADDI R3 16
ADDI R3 17
ADDI R3 18
ADDI R3 19
ADDI R3 20
ADDI R3 21
ADDI R3 22
ADDI R3 23
ADDI R3 24
ADDI R3 25
ADDI R3 26
ADDI R3 27
ADDI R3 28
ADDI R3 29
ADDI R3 30
ADDI R3 31
//////////////////////
//ADDI R4 X
//////////////////////
ADDI R4 0
ADDI R4 1
ADDI R4 2
ADDI R4 3
ADDI R4 4
ADDI R4 5
ADDI R4 6
ADDI R4 7
ADDI R4 8
ADDI R4 9
ADDI R4 10
ADDI R4 11
ADDI R4 12
ADDI R4 13
ADDI R4 14
ADDI R4 15
ADDI R4 16
ADDI R4 17
ADDI R4 18
ADDI R4 19
ADDI R4 20
ADDI R4 21
ADDI R4 22
ADDI R4 23
ADDI R4 24
ADDI R4 25
ADDI R4 26
ADDI R4 27
ADDI R4 28
ADDI R4 29
ADDI R4 30
ADDI R4 31
//////////////////////
//ADDI R5 X
//////////////////////
ADDI R5 0
ADDI R5 1
ADDI R5 2
ADDI R5 3
ADDI R5 4
ADDI R5 5
ADDI R5 6
ADDI R5 7
ADDI R5 8
ADDI R5 9
ADDI R5 10
ADDI R5 11
ADDI R5 12
ADDI R5 13
ADDI R5 14
ADDI R5 15
ADDI R5 16
ADDI R5 17
ADDI R5 18
ADDI R5 19
ADDI R5 20
ADDI R5 21
ADDI R5 22
ADDI R5 23
ADDI R5 24
ADDI R5 25
ADDI R5 26
ADDI R5 27
ADDI R5 28
ADDI R5 29
ADDI R5 30
ADDI R5 31
//////////////////////
//ADDI R6 X
//////////////////////
ADDI R6 0
ADDI R6 1
ADDI R6 2
ADDI R6 3
ADDI R6 4
ADDI R6 5
ADDI R6 6
ADDI R6 7
ADDI R6 8
ADDI R6 9
ADDI R6 10
ADDI R6 11
ADDI R6 12
ADDI R6 13
ADDI R6 14
ADDI R6 15
ADDI R6 16
ADDI R6 17
ADDI R6 18
ADDI R6 19
ADDI R6 20
ADDI R6 21
ADDI R6 22
ADDI R6 23
ADDI R6 24
ADDI R6 25
ADDI R6 26
ADDI R6 27
ADDI R6 28
ADDI R6 29
ADDI R6 30
ADDI R6 31
//////////////////////
//ADDI R7 X
//////////////////////
ADDI R7 0
ADDI R7 1
ADDI R7 2
ADDI R7 3
ADDI R7 4
ADDI R7 5
ADDI R7 6
ADDI R7 7
ADDI R7 8
ADDI R7 9
ADDI R7 10
ADDI R7 11
ADDI R7 12
ADDI R7 13
ADDI R7 14
ADDI R7 15
ADDI R7 16
ADDI R7 17
ADDI R7 18
ADDI R7 19
ADDI R7 20
ADDI R7 21
ADDI R7 22
ADDI R7 23
ADDI R7 24
ADDI R7 25
ADDI R7 26
ADDI R7 27
ADDI R7 28
ADDI R7 29
ADDI R7 30
ADDI R7 31
//////////////////////
//ADDI R8 X
//////////////////////
ADDI R8 0
ADDI R8 1
ADDI R8 2
ADDI R8 3
ADDI R8 4
ADDI R8 5
ADDI R8 6
ADDI R8 7
ADDI R8 8
ADDI R8 9
ADDI R8 10
ADDI R8 11
ADDI R8 12
ADDI R8 13
ADDI R8 14
ADDI R8 15
ADDI R8 16
ADDI R8 17
ADDI R8 18
ADDI R8 19
ADDI R8 20
ADDI R8 21
ADDI R8 22
ADDI R8 23
ADDI R8 24
ADDI R8 25
ADDI R8 26
ADDI R8 27
ADDI R8 28
ADDI R8 29
ADDI R8 30
ADDI R8 31
//////////////////////
//ADDI R9 X
//////////////////////
ADDI R9 0
ADDI R9 1
ADDI R9 2
ADDI R9 3
ADDI R9 4
ADDI R9 5
ADDI R9 6
ADDI R9 7
ADDI R9 8
ADDI R9 9
ADDI R9 10
ADDI R9 11
ADDI R9 12
ADDI R9 13
ADDI R9 14
ADDI R9 15
ADDI R9 16
ADDI R9 17
ADDI R9 18
ADDI R9 19
ADDI R9 20
ADDI R9 21
ADDI R9 22
ADDI R9 23
ADDI R9 24
ADDI R9 25
ADDI R9 26
ADDI R9 27
ADDI R9 28
ADDI R9 29
ADDI R9 30
ADDI R9 31
//////////////////////
//ADDI R10 X
//////////////////////
ADDI R10 0
ADDI R10 1
