//////////////////////
//LDU R0 X
//////////////////////
01010 000 00000000
01010 000 00000001
01010 000 00000010
01010 000 00000011
01010 000 00000100
01010 000 00000101
01010 000 00000110
01010 000 00000111
01010 000 00001000
01010 000 9
01010 000 10
01010 000 11
01010 000 12
01010 000 13
01010 000 14
01010 000 15
01010 000 16
01010 000 17
01010 000 18
01010 000 19
01010 000 20
01010 000 21
01010 000 22
01010 000 23
01010 000 24
01010 000 25
01010 000 26
01010 000 27
01010 000 28
01010 000 29
01010 000 30
01010 000 31
01010 000 32
01010 000 33
01010 000 34
01010 000 35
01010 000 36
01010 000 37
01010 000 38
01010 000 39
01010 000 40
01010 000 41
01010 000 42
01010 000 43
01010 000 44
01010 000 45
01010 000 46
01010 000 47
01010 000 48
01010 000 49
01010 000 50
01010 000 51
01010 000 52
01010 000 53
01010 000 54
01010 000 55
01010 000 56
01010 000 57
01010 000 58
01010 000 59
01010 000 60
01010 000 61
01010 000 62
01010 000 63
01010 000 64
01010 000 65
01010 000 66
01010 000 67
01010 000 68
01010 000 69
01010 000 70
01010 000 71
01010 000 72
01010 000 73
01010 000 74
01010 000 75
01010 000 76
01010 000 77
01010 000 78
01010 000 79
01010 000 80
01010 000 81
01010 000 82
01010 000 83
01010 000 84
01010 000 85
01010 000 86
01010 000 87
01010 000 88
01010 000 89
01010 000 90
01010 000 91
01010 000 92
01010 000 93
01010 000 94
01010 000 95
01010 000 96
01010 000 97
01010 000 98
01010 000 99
01010 000 100
01010 000 101
01010 000 102
01010 000 103
01010 000 104
01010 000 105
01010 000 106
01010 000 107
01010 000 108
01010 000 109
01010 000 110
01010 000 111
01010 000 112
01010 000 113
01010 000 114
01010 000 115
01010 000 116
01010 000 117
01010 000 118
01010 000 119
01010 000 120
01010 000 121
01010 000 122
01010 000 123
01010 000 124
01010 000 125
01010 000 126
01010 000 127
01010 000 128
01010 000 129
01010 000 130
01010 000 131
01010 000 132
01010 000 133
01010 000 134
01010 000 135
01010 000 136
01010 000 137
01010 000 138
01010 000 139
01010 000 140
01010 000 141
01010 000 142
01010 000 143
01010 000 144
01010 000 145
01010 000 146
01010 000 147
01010 000 148
01010 000 149
01010 000 150
01010 000 151
01010 000 152
01010 000 153
01010 000 154
01010 000 155
01010 000 156
01010 000 157
01010 000 158
01010 000 159
01010 000 160
01010 000 161
01010 000 162
01010 000 163
01010 000 164
01010 000 165
01010 000 166
01010 000 167
01010 000 168
01010 000 169
01010 000 170
01010 000 171
01010 000 172
01010 000 173
01010 000 174
01010 000 175
01010 000 176
01010 000 177
01010 000 178
01010 000 179
01010 000 180
01010 000 181
01010 000 182
01010 000 183
01010 000 184
01010 000 185
01010 000 186
01010 000 187
01010 000 188
01010 000 189
01010 000 190
01010 000 191
